ID,Gender,3M,4M,6M,7M,8M,9M
1,Female,41,26,34,28,25,31
2,Female,91,68,53,53,38,39
3,Female,53,26,47,28,35,32
4,Female,81,79,61,68,67,63
5,Male,34,24,37,35,27,37
6,Male,72,74,66,63,50,37
7,Male,91,71,63,83,79,66
8,Male,59,44,37,40,38,41
9,Male,59,53,42,33,42,46
10,Female,59,62,47,35,33,54
11,Male,69,56,39,55,52,54
12,Male,78,62,61,58,46,39
13,Male,44,24,21,38,31,32
14,Male,72,68,37,28,38,47
15,Male,75,53,61,75,48,61
16,Male,78,53,39,35,60,59
17,Female,31,50,34,43,48,34
18,Male,47,38,71,48,35,56
19,Female,47,53,24,38,31,41
20,Female,88,82,82,83,96,88
21,Female,63,38,45,50,50,46
22,Female,63,59,39,55,42,73
23,Female,63,56,47,50,35,59
24,Male,59,62,42,23,29,32
25,Male,22,38,16,25,31,29
26,Male,63,53,34,53,38,39
27,Female,59,47,32,35,25,37
28,Male,50,29,29,30,35,49
29,Male,47,71,53,63,52,73
30,Male,84,88,76,68,71,54
31,Female,22,35,29,20,19,32
32,Female,75,65,58,63,44,66
